[ -1, -1, 21, 32, 0, -1, -1, -5 ]
[ 0, -9, -41, -2, 9, 1, -4, -2 ]
[ -3, 13, -55, 1, -13, -4, 0, -1 ]
[ -3, -7, -9, -7, -6, -1, -3, -3 ]
[ -3, -23, 26, 15, 3, 0, -2, 11 ]
[ 1, -8, -73, -83, -1, 1, 1, 1 ]
[ -7, -9, 25, 18, 4, 1, 1, -10 ]
[ -5, -2, 15, 19, -8, -4, -11, 4 ]
[ 0, 4, 11, -6, 4, 2, 5, 0 ]
[ 7, 14, 50, 50, 6, 6, 7, 17 ]
[ 2, -7, 50, -21, 0, -2, -7, -39 ]
[ -13, -30, -41, -17, -15, -11, -3, 0 ]
[ 2, 9, 27, -2, 1, 0, -3, -2 ]
[ -3, -5, -16, 4, -7, -7, -3, 1 ]
[ 5, 11, 9, 16, 9, 15, 8, 13 ]
[ 7, 21, 30, 27, 12, 13, 24, 11 ]
[ -5, -9, 19, -50, -13, -13, -18, -13 ]
[ -2, -3, 12, 23, 1, 4, -2, -5 ]
[ 1, 4, -80, -7, -6, -10, -6, 4 ]
[ -5, 10, 47, 2, -2, -2, -1, -3 ]
[ 3, 10, -1, -1, 7, 8, 6, 9 ]
[ -12, -16, -34, -7, -6, -3, -4, -6 ]
[ 1, 3, -8, 28, 4, 1, 0, 5 ]
[ 6, 7, -71, -26, 4, 4, -3, -3 ]
[ -13, -9, 36, -17, -15, -12, -4, -8 ]
[ 9, 6, 32, 2, 3, 1, -1, -1 ]
[ -1, -8, -10, -9, 5, 1, 3, 5 ]
[ 3, 16, 20, 8, 2, 0, -1, -11 ]
[ 6, -5, 23, 22, 0, -2, 1, -8 ]
[ 1, -20, -5, 9, 0, 2, 0, -7 ]
[ 20, 93, 16, -4, 4, 2, 2, 5 ]
[ -2, -55, -46, -29, -17, -13, -9, -5 ]
[ -20, -9, 28, 17, 4, 1, 2, 10 ]
[ -16, 0, -8, -6, -3, 0, -7, -19 ]
[ -4, -39, -2, 10, 5, 1, 6, -2 ]
[ -2, 4, 22, 17, 3, -2, 4, 0 ]
[ 13, 28, 64, 1, 1, 2, -8, -2 ]
[ 1, -10, -92, -43, -9, -5, 5, 3 ]
[ -4, 2, 31, -8, -6, -6, -8, 3 ]
[ -3, 13, 1, 2, -1, -1, 2, -3 ]
[ 2, 12, 1, 17, 5, 2, 5, 6 ]
[ 4, -18, 12, -9, 3, 2, 3, 3 ]
[ -6, -27, -13, -7, -6, -5, -3, -2 ]
[ -1, 1, 21, 20, 5, 5, -6, 0 ]
[ 5, 18, -60, -34, -1, 2, 10, 0 ]
[ 5, 22, 83, 60, 4, 1, -2, 3 ]
